recipient_key	recipient_name	parent_name	candidate_ticker	basis
6886d17f-6f9c-740a-e4ed-1a5f341492cb-C	AZENTA US INC		AZTA	own-name
696895eb-eafd-64e3-b141-4770efb62355-C	VERTIV SERVICES, INC.		VRT	own-name
6adada2e-4561-37a5-c532-75894b663e2b-C	ADVANTEST AMERICA, INC		ATEYY	own-name
6d5f1e92-54d4-ad95-ef75-de5fb31bc593-C	TELEFLEX LLC		TFX	own-name
6ecb6057-9c32-243d-af06-5c0f5583e83f-C	COMCAST CABLE COMMUNICATIONS, LLC	COMCAST CORPORATION	CMCSA	parent-name
713cfd25-bd59-e2bc-6f5e-643305508622-C	WIND RIVER SYSTEMS, INC.	INTEL CORPORATION	INTC	parent-name
7170bc0d-a4dc-4b5f-49d4-bffd5d159970-C	SPX AIDS TO NAVIGATION, LLC	SPX CORPORATION	SPXC	parent-name
71b75ca8-519e-df1c-d478-52eb9a69e9c3-C	TEREX CORPORATION		TEX	own-name
78d54ccd-3a13-a9f7-5268-26c8e7571abc-C	RELX INC.		RELX	own-name
7bc520b9-695e-b0d0-9438-382e1a45194f-C	CIPHERTRACE INC	MASTERCARD INCORPORATED	MA	parent-name
7ff3ea71-85c0-31e7-e04f-f7e58ca75168-C	NORTHERN ILLINOIS GAS COMPANY	SOUTHERN CO SERVICES INC	SO	parent-name
890e8ed8-e1ea-92d0-c902-4456bfef8bbf-C	ASCO POWER SERVICES INC	VERTIV CORP	VRT	parent-name
8921df4b-662e-a7be-cda3-afba9bc717a2-C	STRYKER SALES, LLC	STRYKER CORPORATION	SYK	parent-name
8a7cd03a-dabc-9d74-2795-cc4f3ada4fd1-C	ALABAMA POWER COMPANY	SOUTHERN CO SERVICES INC	SO	parent-name
8cf8d783-3621-9b3c-3486-6f5c704f797f-C	VERTIV CORPORATION		VRT	own-name
9356f9cf-4506-a887-3d6a-d04387a7637e-C	AEROCONTROLEX GROUP, INC.	TRANSDIGM GROUP INCORPORATED	TDG	parent-name
9869839a-619f-9824-74c8-972f881dd6f4-C	PERATON INC.	ITT CORPORATION	ITT	parent-name
9e9fe3bb-3b8f-430b-6060-0ebed4132aad-C	EATON CORPORATION		ETN	own-name
9fc6492e-8a88-e1b4-3cc4-9487432eab8c-C	AVIONIC INSTRUMENTS LLC	TRANSDIGM GROUP INCORPORATED	TDG	parent-name
ad37d43a-4735-29f2-39e2-41c6c74062a2-C	EATON CORPORATION		ETN	own-name
af618dbb-8243-6bfb-bd94-f7e66350305d-C	THE ADVISORY BOARD COMPANY	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
b143e4e4-6e13-3227-a9be-875c39fabe95-C	ABBVIE US LLC		ABBV	own-name
b3207faf-40d1-6381-22dc-fadfb0443df0-C	COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC	COMCAST CORPORATION	CMCSA	parent-name
b3e790b7-6e7f-6d8d-3d8d-166313abd786-C	WEYERHAEUSER COMPANY		WY	own-name
b54de748-ee64-a1e6-546e-e7007b054797-C	MCKESSON CORPORATION		MCK	own-name
b5a3db26-0841-2f54-0151-29cef579d8af-C	LUMEN SOLUTIONS GROUP INC		LUMN	own-name
b6e4ad0f-6877-b3a2-4c54-578230c072a9-C	DEERE & COMPANY		DE	own-name
b80388f7-eb04-5a87-a089-b8555ed646c2-C	BLACKROCK INDUSTRIES LLC		BLK	own-name
b942a813-cf16-3577-afb8-6e20ea3078f6-C	HOWMEDICA OSTEONICS CORP	STRYKER CORPORATION	SYK	parent-name
bef4d3a7-8d45-ff8c-9880-16e729ed795e-C	AHMIC AEROSPACE LLC	TRANSDIGM GROUP INCORPORATED	TDG	parent-name
bf0a360f-4074-1338-af53-c9b90e1f2f0f-C	AMERICAN TECHNOLOGY SOLUTIONS INTERNATIONAL CORP		AIG	own-name
c3413d6d-75a8-a9eb-ca67-ca4debbb94a3-C	FLUOR INTERCONTINENTAL, INC	FLUOR CORPORATION	FLR	parent-name
c81228a6-de4a-cda8-b887-15e209431fef-C	CINTAS CORPORATION NO. 2	CINTAS CORPORATION	CTAS	parent-name
c90c2205-c1a1-7671-ce14-decf86061294-C	TELEFLEX MEDICAL INCORPORATED	TELEFLEX INCORPORATED	TFX	parent-name
c9332296-ebc7-77ba-a48c-073954512459-C	KLA CORPORATION		KLAC	own-name
c9384007-af97-f867-2e00-619f1fd6744d-C	REVOLVE SOLUTIONS LLC		RVLV	own-name
c99a1fdd-2c4a-0a33-4a08-bcde0bfac664-C	AESYNT INCORPORATED	MCKESSON CORPORATION	MCK	parent-name
