recipient_key	recipient_name	parent_name	candidate_ticker	basis
4386ea28-0ac2-26d8-57cb-ccf3e78cd65e-C	PERFORMANCE EQUITY MANAGEMENT, LLC	GENERAL MOTORS COMPANY	GM	parent-name
447b8c8a-5d1b-fb75-ef60-846c227097c6-C	SBA TOWERS II LLC	SBA COMMUNICATIONS CORPORATION	SBAC	parent-name
44ce81f7-2dd1-a89d-90d9-2d5b885e3f41-C	MENTOR WORLDWIDE LLC	JOHNSON & JOHNSON	JNJ	parent-name
464a5b15-000e-8668-246a-c4067a6f0452-C	HAMILTON SUNDSTRAND CORPORATION	RTX CORP	RTX	parent-name
4a228748-a256-002e-de46-4dd145e98dfe-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
4b338935-1fe1-e136-3ef3-dbe01c516fbd-C	DERCO AEROSPACE, INC.	RTX CORP	RTX	parent-name
4c3d8bed-0309-8dd4-8279-e0fa623505f2-C	VECTREN ENERGY DELIVERY OF OHIO, LLC	CENTERPOINT ENERGY, INC.	CNP	parent-name
4cae6b4e-1ccc-101c-c2bc-368bcd4e5340-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
4d954735-5a17-9d2f-f9ad-bd508ab2d168-C	FISHER SCIENTIFIC COMPANY L.L.C.	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
5099e6a7-7a4e-921b-9375-d64b9383d38e-C	OTIS ELEVATOR COMPANY	RTX CORP	RTX	parent-name
512f160b-e5b9-7039-89f7-9b78c6367ee9-C	KNOLL, INC.	MILLERKNOLL INC	MLKN	parent-name
51bc164d-0975-136d-3fb5-d67ade0957a7-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
53ffa4ca-993b-c29c-d8d4-e8e916d4176b-C	MARRIOTT INTERNATIONAL INC	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
5487725e-5e9d-21a3-1fbd-6b8aa9244a20-C	ROLLER BEARING COMPANY OF AMERICA, INC.	RBC BEARINGS INCORPORATED	RBC	parent-name
5611c685-611f-82c0-fd9a-1f336e1d40a4-C	KFT FIRE TRAINER LLC	RTX CORP	RTX	parent-name
